"id","nome","source_folder","tags_secundarias","quantidade_secundarias","status"
"media_4f4694759875b5dbd15e","Supino na máquina Smith","C:\Users\bruno\Downloads\Exercicios renomeados\Supino na máquina Smith","Máquina | Tríceps | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_bb7ae36dcd31aaf0b43b","Supino reto com barra","C:\Users\bruno\Downloads\Exercicios renomeados\Supino reto com barra","Barra | Banco | Tríceps","3","COM_SECUNDARIAS_NO_TXT"
"media_d0238db28bd27397475f","Supino reto com barra, pegada reversa e fechada","C:\Users\bruno\Downloads\Exercicios renomeados\Supino reto com barra, pegada reversa e fechada","Barra | Banco | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_fa4eb52e3a6d2dd16bdf","Supino sentado no cabo","C:\Users\bruno\Downloads\Exercicios renomeados\Supino sentado no cabo","Polia/Cabo | Banco | Tríceps","3","COM_SECUNDARIAS_NO_TXT"
"media_e9477e80d0fb15e65cf0","Supino sentado no cabo com pegada fechada","C:\Users\bruno\Downloads\Exercicios renomeados\Supino sentado no cabo com pegada fechada","Polia/Cabo | Banco | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_e65cc478377759c4ed7e","Supino unilateral com halter e pegada reversa","C:\Users\bruno\Downloads\Exercicios renomeados\Supino unilateral com halter e pegada reversa","Halteres | Banco | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_fe568c6890f78f25fa51","Supino unilateral com kettlebell no banco","C:\Users\bruno\Downloads\Exercicios renomeados\Supino unilateral com kettlebell no banco","Kettlebell | Banco | Tríceps","3","COM_SECUNDARIAS_NO_TXT"
"media_9e47b03b9ae0086a6c6b","Supino unilateral na máquina","C:\Users\bruno\Downloads\Exercicios renomeados\Supino unilateral na máquina","Máquina | Tríceps | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_ea72bb4460ed90de2ab2","Supino unilateral no cabo em pé","C:\Users\bruno\Downloads\Exercicios renomeados\Supino unilateral no cabo em pé","Polia/Cabo | Banco | Tríceps","3","COM_SECUNDARIAS_NO_TXT"
"media_2ab4ba9c1fc4f31ca23e","Suspensão na barra fixa","C:\Users\bruno\Downloads\Exercicios renomeados\Suspensão na barra fixa","Barra fixa | Bíceps | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_963e38d2278403293da5","Tesoura de braços","C:\Users\bruno\Downloads\Exercicios renomeados\Tesoura de braços","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_5b480e01e3b551f926ab","Tesoura de pernas deitado","C:\Users\bruno\Downloads\Exercicios renomeados\Tesoura de pernas deitado","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_51b45720ac22710f6d08","Thruster com kettlebell","C:\Users\bruno\Downloads\Exercicios renomeados\Thruster com kettlebell","Kettlebell | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_aacc97e352cb7c22fef8","Toque de caranguejo com rotação","C:\Users\bruno\Downloads\Exercicios renomeados\Toque de caranguejo com rotação","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_0e0efd578078ac0be267","Toque de caranguejo com rotação - variação 2","C:\Users\bruno\Downloads\Exercicios renomeados\Toque de caranguejo com rotação - variação 2","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_7b779589c0d32c4cab8a","Toque dos pés em pé","C:\Users\bruno\Downloads\Exercicios renomeados\Toque dos pés em pé","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_dd4a8dd102db185dfc53","Toque lateral com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Toque lateral com elástico","Elástico | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_a7672baa5e9273981864","Toque no calcanhar","C:\Users\bruno\Downloads\Exercicios renomeados\Toque no calcanhar","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_d39817b8f03c1508bfe6","Torção oblíqua sentada","C:\Users\bruno\Downloads\Exercicios renomeados\Torção oblíqua sentada","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_4efa59ff9d80102eb5d5","Torção russa","C:\Users\bruno\Downloads\Exercicios renomeados\Torção russa","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_3f819029554bb4436461","Tríceps na polia","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps na polia","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_3a837cfce62495425870","Tríceps no banco","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps no banco","Banco | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_73f014adea062cb63c99","Tríceps testa com barra","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps testa com barra","Barra | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_b97da2b28aff08a1af74","Tríceps testa com barra - variação 2","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps testa com barra - variação 2","Barra | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_62e50fb54ddee0f5a51f","Tríceps testa com peso corporal","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps testa com peso corporal","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_f935dde48069be02f01d","Tríceps testa unilateral com halter","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps testa unilateral com halter","Halteres | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_08bc51618baa755d1eb0","Tríceps unilateral na polia","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps unilateral na polia","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_f98acb96720587e71c8b","Tríceps unilateral na polia com pegada reversa","C:\Users\bruno\Downloads\Exercicios renomeados\Tríceps unilateral na polia com pegada reversa","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_ff37ee4a8039151c8960","Upavistha Konasana (alongamento sentado com pernas abertas)","C:\Users\bruno\Downloads\Exercicios renomeados\Upavistha Konasana (alongamento sentado com pernas abertas)","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_0633dc40622a1c89e716","Uppercut de direita","C:\Users\bruno\Downloads\Exercicios renomeados\Uppercut de direita","Sem aparelhos | Casa | Corpo inteiro","3","COM_SECUNDARIAS_NO_TXT"
"media_d85d90a0fa569eab9c6c","Virada de pneu","C:\Users\bruno\Downloads\Exercicios renomeados\Virada de pneu","Cardio | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_5dec271a7901b7364e3b","Vácuo abdominal em quatro apoios","C:\Users\bruno\Downloads\Exercicios renomeados\Vácuo abdominal em quatro apoios","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_a569d89908eaf901f622","Wall ball","C:\Users\bruno\Downloads\Exercicios renomeados\Wall ball","Bola | Cardio | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_56b5acb8fe14216e8037","Wood chop no cabo de baixo para cima","C:\Users\bruno\Downloads\Exercicios renomeados\Wood chop no cabo de baixo para cima","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_ff2e459624fd36724877","Wood chop no cabo de cima para baixo","C:\Users\bruno\Downloads\Exercicios renomeados\Wood chop no cabo de cima para baixo","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
