"id","nome","nome_anterior","arquivo_gif","hash_gif","classificacao","possivel_equivalente_source","motivo"
"media_a6863f94bc4e3e34b6cf","Flexão lateral do tronco no banco romano","Flexão lateral do tronco no banco romano","gifs/abdominais/Abdominal - Variação 8.gif","980e4763c6838c29acc55d6728507bb3a0ac19c224281ce53da00e89bb5c735e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_a96b4103cf30417948f9","Crucifixo inclinado com halteres","Crucifixo inclinado com halteres","gifs/peitoral/Lever inclinado hammer supino.gif","01bee98a160cba98bb4def62203a2833086ed5c444a95979065c75a4a2005e46","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b11b1e0995f4962f618b","Vácuo abdominal em quatro apoios","Vácuo abdominal em quatro apoios","gifs/abdominais/Exercício de vácuo de barriga de 4 pontos.gif","900fc382e100b7338069c7a1061cd61cc2a59916a2b6a8a54dd6609793c17955","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b18f3aa2373c7edaf2cc","Elíptico","Elíptico","gifs/cardio/Elíptico.gif","1919fae043a40b80b8f8c7522dd1bb0b87b63428200446d91f2370aec45533b5","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b34d752f2f41520da005","Elevação alternada de pernas deitado","Elevação alternada de pernas deitado","gifs/abdominais/Elevações alternadas das pernas.gif","aa744f5ef8d1878ac6ab46035993cde3769ca59e76833d95b9441d10cef1ba9c","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b3d429b75b4b06623725","Agachamento livre com barra","Agachamento livre com barra","gifs/perna/Agachamento aéreo.gif","6561234da6838d47cf3b45d1abfc5650abcfdfe38c0226f22dd0d27027da0bcb","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b4ccce0d430ca7cc0d33","Abdominal reverso","Abdominal reverso","gifs/abdominais/Abdominal reversa.gif","6bed6d714431d530c62a97d08f832cec5f894ce9a518bad5a421849290dffa17","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b6773f6d6c3d4b42eeda","Remada alta com barra","Remada alta com barra","gifs/trapézio/Encolher de ombros com barra - Variação 2.gif","f48e6e0ffb9081337e276a3a498b126d83150ca093d18bd8660a472854fee163","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_b7f96901b8ff4ca51a65","Avanço com barra","","gifs/Avanço com barra - Passada com barra.gif","9b6dce4ede122e0495475703ec155b1ed70664a58ca447fcdf3ecbd243c26301","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_baa2722717487d8e84d4","Puxada unilateral na polia alta","Puxada unilateral na polia alta","gifs/costas/Cabo um braço pulldown lat.gif","83202fe3d79cc23280d80c23c0ed3a6463eb7eb2377decac268aef9e6ca868f1","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
