"id","source_folder","campo","valor_antes","valor_source","valor_depois","status"
"media_84f3c348d0bd0de5889a","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com joelhos na bola suíça","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Bola | Academia","Abdômen/Core | Bola | Academia","CORRIGIDO"
"media_df1298bc746a35c6e9cc","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com peso","tags_secundarias","Banco | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_df1298bc746a35c6e9cc","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com peso","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_5959ba8a910cc4bd333e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com roda","tags_secundarias","Academia | Casa","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_5959ba8a910cc4bd333e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal com roda","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_268cab95eea048617e6e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal completo","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_268cab95eea048617e6e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal completo","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_ecdd3a34b2d3919cdb19","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal cruzado","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_ecdd3a34b2d3919cdb19","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal cruzado","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_41eada67854ead35ddd5","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal declinado","tags_secundarias","Academia | Casa","Banco | Academia","Banco | Academia","CORRIGIDO"
"media_41eada67854ead35ddd5","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal declinado","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Banco | Academia","Abdômen/Core | Banco | Academia","CORRIGIDO"
"media_92cd324eddf81f9c7647","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal em pé no cabo","tags_secundarias","Corda | Academia","Polia/Cabo | Academia","Polia/Cabo | Academia","CORRIGIDO"
"media_92cd324eddf81f9c7647","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal em pé no cabo","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Polia/Cabo | Academia","Abdômen/Core | Polia/Cabo | Academia","CORRIGIDO"
"media_6ce369b6689dbf8a4a1e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral na bola suíça com peso","tags_secundarias","","Bola | Academia","Bola | Academia","CORRIGIDO"
"media_6ce369b6689dbf8a4a1e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral na bola suíça com peso","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Bola | Academia","Abdômen/Core | Bola | Academia","CORRIGIDO"
"media_14d4dde1d41b863640bf","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral sentado","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_14d4dde1d41b863640bf","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal lateral sentado","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_614eb5794d6c08c2ce86","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina Ab Coaster","tags_secundarias","Academia","Máquina | Academia","Máquina | Academia","CORRIGIDO"
"media_614eb5794d6c08c2ce86","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal na máquina Ab Coaster","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Máquina | Academia","Abdômen/Core | Máquina | Academia","CORRIGIDO"
"media_2b8b21fdd1258627ca59","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no chão","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_2b8b21fdd1258627ca59","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal no chão","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_1bcfe6d58d2a42e3031e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal oblíquo no chão","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_1bcfe6d58d2a42e3031e","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal oblíquo no chão","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_4bf0f198cbc3fdac28da","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso","tags_secundarias","Casa | Academia","Sem aparelhos | Casa","Sem aparelhos | Casa","CORRIGIDO"
"media_4bf0f198cbc3fdac28da","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal reverso","tags_compatibilidade","Abdômen/Core","Abdômen/Core | Sem aparelhos | Casa","Abdômen/Core | Sem aparelhos | Casa","CORRIGIDO"
"media_0e463aeb4158497e2760","C:\Users\bruno\Downloads\Exercicios renomeados\Abdominal sapo com bola suíça","tags_secundarias","Casa | Academia","Bola | Academia","Bola | Academia","CORRIGIDO"
